Time (s),Series 1 Position (mm),Series 1 Velocity (mm/s),Series 2 Position (mm),Series 2 Velocity (mm/s),Series 3 Position (mm),Series 3 Velocity (mm/s)
0.1999999999999993,203.02,-13.31,202.89,-7.34,224.95,-1.3
0.1999999999999993,200.47,-7.55,202,-2.24,224.68,-1.5
0.1999999999999993,200,-1.17,202,0,224.35,-1.77
0.1999999999999993,200,0,202,0,223.97,-1.85
0.20000000000000284,200,0,202,0,223.61,-1.56
0.1999999999999993,200,0,202,0,223.35,-0.98
0.1999999999999993,200,0,202,0,223.22,-0.44
0.1999999999999993,200,1.42,202,0,223.18,-0.25
0.1999999999999993,200.57,6.72,202,0,223.12,-0.51
0.20000000000000284,202.69,10.02,202,0,222.97,-0.97
0.1999999999999993,204.58,8.63,202,0,222.73,-1.2
0.1999999999999993,206.14,7.43,202,0,222.49,-0.82
0.1999999999999993,207.55,7.23,202,0,222.4,0.26
0.1999999999999993,209.03,7.81,202,0,222.6,1.82
0.20000000000000284,210.68,8.55,202,0.34,223.13,3.33
0.1999999999999993,212.45,9.01,202.14,8.03,223.93,4.34
0.1999999999999993,214.28,9.17,205.21,15.51,224.86,4.73
0.1999999999999993,216.12,9.2,208.34,16.35,225.82,4.76
0.1999999999999993,217.96,9.21,211.76,17.85,226.77,4.82
0.20000000000000284,219.8,9.2,215.48,18.67,227.75,5.09
0.1999999999999993,221.64,9.02,219.22,17.73,228.8,5.47
0.1999999999999993,223.41,8.53,222.57,15.28,229.93,5.61
0.1999999999999993,225.05,7.77,225.34,12.8,231.05,5.25
0.1999999999999993,226.52,7,227.69,11.69,232.04,4.5
0.20000000000000284,227.85,6.41,230.01,11.91,232.85,3.71
0.1999999999999993,229.09,5.93,232.46,12.18,233.52,3.14
0.1999999999999993,230.22,5.23,234.88,11.49,234.1,2.73
0.1999999999999993,231.18,4.15,237.05,9.92,234.61,2.2
0.1999999999999993,231.88,2.99,238.85,8.06,234.98,1.4
0.20000000000000284,232.37,2.19,240.28,6.27,235.17,0.44
0.1999999999999993,232.76,1.99,241.36,4.61,235.16,-0.31
0.1999999999999993,233.17,2.18,242.12,3.26,235.05,-0.53
0.20000000000000284,233.63,2.34,242.66,2.53,234.95,-0.27
0.19999999999999574,234.1,2.17,243.13,2.45,234.94,0.15
0.20000000000000284,234.5,1.67,243.64,2.65,235.01,0.44
0.19999999999999574,234.77,1.12,244.19,2.64,235.12,0.54
0.20000000000000284,234.95,0.8,244.7,2.25,235.22,0.49
0.20000000000000284,235.09,0.79,245.09,1.66,235.31,0.41
0.19999999999999574,235.26,0.96,245.36,1.21,235.39,0.38
0.20000000000000284,235.47,1.09,245.57,1.06,235.46,0.42
0.19999999999999574,235.7,1.12,245.79,1.09,235.55,0.45
0.20000000000000284,235.92,1.07,246.01,1.09,235.64,0.38
0.20000000000000284,236.13,0.95,246.22,0.86,235.71,0.21
0.19999999999999574,236.3,0.75,246.35,0.22,235.73,0.06
0.20000000000000284,236.42,0.56,246.31,-0.74,235.73,-0
0.19999999999999574,236.52,0.49,246.05,-1.43,235.73,-0.01
0.20000000000000284,236.62,0.55,245.73,-1.23,235.73,-0.03
0.20000000000000284,236.74,0.64,245.56,-0.24,235.72,-0.1
0.19999999999999574,236.88,0.64,245.64,0.82,235.68,-0.22
0.20000000000000284,237,0.57,245.89,1.38,235.63,-0.31
0.19999999999999574,237.1,0.55,246.19,1.38,235.56,-0.26
0.20000000000000284,237.22,0.7,246.44,1.14,235.52,-0.02
0.20000000000000284,237.39,0.96,246.64,1.07,235.55,0.31
0.19999999999999574,237.61,1.12,246.87,1.37,235.65,0.54
0.20000000000000284,237.83,1.03,247.19,1.9,235.77,0.48
0.19999999999999574,238.02,0.8,247.63,2.02,235.84,0.21
0.20000000000000284,238.15,0.7,248,0.93,235.85,-0.08
0.20000000000000284,238.3,0.84,248,0,235.81,-0.23
0.19999999999999574,238.49,1.08,248,0,235.76,-0.19
0.20000000000000284,238.73,1.23,248,0,235.74,0.11
0.19999999999999574,238.98,1.25,248,0,235.8,0.68
0.20000000000000284,239.23,1.25,248,0,236.01,1.43
0.20000000000000284,239.48,1.36,248,0,236.37,2.19
0.19999999999999574,239.77,1.62,248,0,236.88,2.73
