phase,time_in_cycle,pressure_mmhg,epi,trans,endo,pred_twist_deg,pred_height_mm,pred_volume_mL
0.242424,0.242424,95.944605,230.52598108376776,226.63003118037423,228.58170817563794,2.909798044212458,63.37049758566479,99.37626860149496
0.252525,0.252525,96.142004,230.05008536160165,225.76933534831232,228.4218683865294,3.067041701372048,63.102757023057976,97.9513689825328
0.262626,0.262626,96.302171,229.59929596662647,224.89255038749545,228.29177545864007,3.223333286671128,62.85853210032392,96.56657137371877
0.272727,0.272727,96.448702,229.18155557275094,223.9896118482499,228.1947367728059,3.371655973825149,62.642615070752704,95.22779132497325
0.282828,0.282828,96.513146,228.80674230271842,223.05016011954558,228.1338918207584,3.5062484746428453,62.4571613093255,93.9146304399262
0.292929,0.292929,96.390568,228.47935006314714,222.07515287871644,228.1080728548265,3.6262936757942654,62.299609141083465,92.60237675787278
0.30303,0.30303,96.103277,228.19255224009302,221.08090746026053,228.11019876914298,3.735256239468292,62.16534719360357,91.30927885281993
0.313131,0.313131,95.734032,227.93063061326413,220.09511492701435,228.13022967532885,3.8423820200073067,62.0473416063346,90.07138866178933
0.323232,0.323232,95.239445,227.6810490037467,219.15612850331303,228.1597829140233,3.961033851479911,61.93675136532584,88.89527004785108
0.333333,0.333333,94.503817,227.44817562617462,218.32139447266198,228.19400192881653,4.096589901114143,61.83077514532278,87.79374318308092
0.343434,0.343434,93.45385,227.25447364097522,217.669098812431,228.22952073293806,4.239779651891212,61.73521998453715,86.82035146684407
0.353535,0.353535,92.025424,227.11958748140083,217.26947622828732,228.26004438678618,4.379211804247582,61.65287594932519,86.02007584689349
0.363636,0.363636,89.930701,227.03210777636326,217.1355233098998,228.27328093301935,4.52565520990759,61.564060714386756,85.31733670326693
0.373737,0.373737,86.80804,226.9612692727519,217.21114938020688,228.25931562083912,4.70148473776333,61.438048276961375,84.58436435781569
0.383838,0.383838,83.297441,226.94227872272086,217.441996287325,228.24066785314392,4.862145212623794,61.31227813633885,84.00678337806579
0.393939,0.393939,80.367826,227.17095952693398,217.8745453541568,228.30739192236007,4.879221817774422,61.328736101062326,84.0039020675592
0.40404,0.40404,73.578155,227.95546521852506,218.65859366244499,228.60283766393076,4.767368224100018,61.50644570963817,84.2499999064795
0.414141,0.414141,55.249454,229.47183640291806,219.91134243930486,229.22571906216683,4.739663269317695,61.589479680181476,84.38755725162807
0.424242,0.424242,30.055817,231.52458403139173,221.56511187417865,230.1139352303436,4.77497270727266,61.48219106607851,84.23308062297377
0.434343,0.434343,11.840163,233.59531349510542,223.37712532116936,231.03762293742523,4.61613525785495,61.59296749741926,83.21884294405693
0.444444,0.444444,4.259618,235.18442572379098,225.13472855908188,231.73537164275055,4.304274868650886,62.00614974261038,83.47355546014516
0.454545,0.454545,2.39141,236.12787475826843,226.855520392225,232.07465490221267,4.065651821486448,62.340727563410965,85.09812179452534
0.464646,0.464646,2.700481,236.61752930937627,228.76141034771834,232.1011524151742,3.9370646013959956,62.45265710794429,87.42274642739427
0.474747,0.474747,3.160685,236.97987352951,231.07487883638484,231.96492054259053,3.8590179534616667,62.40498160639416,90.12247572540585
0.484848,0.484848,3.084035,237.4520650146765,233.8613268468961,231.81038714285705,3.7760974343907847,62.32372282948562,93.21398994195349
0.494949,0.494949,2.957649,238.0997504964021,237.00622779849778,231.71141173403535,3.6573586905464666,62.32377480720899,96.90023319868945
0.505051,0.505051,2.976474,238.86088362150772,240.25433167669092,231.67668828569336,3.5183192220819492,62.4190549897097,100.99040046090713
0.515152,0.515152,3.011142,239.63929413613525,243.25918070932352,231.70362079061607,3.385205437140776,62.58058153877151,104.97454478878417
0.525253,0.525253,3.006573,240.38233217691794,245.66490252562022,231.82895496385274,3.264745628731781,62.82451349441712,108.35734249173733
0.535354,0.535354,2.997075,241.09925551876205,247.23641351711765,232.120848052847,3.1484259876582,63.21150636404155,110.85856513863132
0.545455,0.545455,2.998167,241.81650236651114,247.97980192424407,232.6082290903581,3.029568131211171,63.77062818046881,112.48092750516497
0.555556,0.555556,3.000766,242.52136799403686,248.0,233.22197285252827,2.8734926501282843,64.44955377322498,113.29265706119693
0.565657,0.565657,3.00051,243.15697095736473,248.0,233.82432422086094,2.779709619319199,65.09292360152322,114.02450120404362
0.575758,0.575758,2.9998,243.67044493093505,247.9751447085404,234.3030419130959,2.6873752456308324,65.61257083282308,114.59064061008223
0.585859,0.585859,2.999858,244.05711724825514,247.95876740043326,234.63487407527475,2.5848656397496086,65.98971582571075,115.01613285756724
0.59596,0.59596,3.000052,244.35774271606098,247.98313078006328,234.86907813363558,2.4867397968619116,66.26827225461797,115.38641341706048
0.606061,0.606061,3.000039,244.62173242429856,248.0,235.06763845343946,2.390405848507143,66.50997698069702,115.70587756827402
0.616162,0.616162,2.999986,244.87597496557984,248.0,235.26233036870448,2.2965667896666986,66.74631432370215,115.99684348748062
0.626263,0.626263,2.999989,245.12044316346592,248.0,235.4514753290008,2.207857929740456,66.9750769267068,116.27853231315086
0.636364,0.636364,3.000004,245.3425605515552,247.99889925549797,235.61976305959797,2.1222175100912892,67.18149368528837,116.53336214901591
0.646465,0.646465,3.000003,245.53228406952434,247.99769309472407,235.75638763117564,2.040203776104619,67.35431899595375,116.74963889462995
0.656566,0.656566,2.999999,245.6882532410687,247.99888123163106,235.86084899681737,1.9637962546805454,67.4922531175122,116.92845894788073
0.666667,0.666667,2.999999,245.8159940202008,248.0,235.93953763255342,1.8929273213763125,67.60169449204459,117.07362425085319
0.676768,0.676768,3.0,245.92327546419818,248.0,236.00012116333576,1.8264844325430758,67.69084613794652,117.19322123334081
0.686869,0.686869,3.0,246.01677041778612,248.0,236.0483382618106,1.7630215899685737,67.76617855214567,117.29641218061181
0.69697,0.69697,3.0,246.1014595066803,248.0,236.08807832690508,1.700756342465489,67.83238376453826,117.38898214021117
0.707071,0.707071,3.0,246.18147100359113,247.9994712545215,236.12271759985404,1.6382295536940106,67.89348077766402,117.47517485860965
0.717172,0.717172,3.0,246.26009981849796,247.99783609671778,236.15511683323678,1.5744144763938976,67.95278445715547,117.55826018446052
